order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_days,late_delivery_flag
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,delivered,"2017-04-26 10:53:06","2017-04-26 11:05:13","2017-05-04 14:35:00","2017-05-12 16:04:24","2017-05-15 00:00:00",16,0
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,delivered,"2017-02-04 13:57:51","2017-02-04 14:10:13","2017-02-16 09:46:09","2017-03-01 16:42:31","2017-03-17 00:00:00",25,0
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,delivered,"2018-07-27 17:21:27","2018-07-27 18:00:06","2018-07-30 14:52:00","2018-08-07 13:56:52","2018-08-07 00:00:00",11,0
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,"2018-02-13 22:10:21","2018-02-15 03:55:52","2018-02-20 18:23:28","2018-02-26 13:55:22","2018-03-06 00:00:00",13,0
000e562887b1f2006d75e0be9558292e,2b01d668726fb0b751c55918c0437b7b,delivered,"2018-02-22 11:54:42","2018-02-22 12:08:37","2018-02-26 14:18:32","2018-03-12 18:46:34","2018-03-19 00:00:00",18,0
000f25f4d72195062c040b12dce9a18a,86ade8ebc14f18dd6c3ea75bd0eb7534,delivered,"2018-03-07 10:33:13","2018-03-07 11:10:11","2018-03-16 15:58:31","2018-03-22 16:51:52","2018-04-11 00:00:00",15,0
0010b2e5201cc5f1ae7e9c6cc8f5bd00,57ef317d4818cb42680fc9dfd13867ce,delivered,"2017-09-11 17:39:33","2017-09-11 18:04:37","2017-09-12 17:02:57","2017-09-23 13:21:21","2017-09-27 00:00:00",12,0
00125cb692d04887809806618a2a145f,8afb90a97ee661103014329b1bcea1a2,delivered,"2017-03-23 12:21:17","2017-03-23 13:05:42","2017-03-27 08:58:04","2017-04-07 15:32:47","2017-04-20 00:00:00",15,0
0013503b13da1eac686219390b7d641b,f7277fce45fad3165379c15cacf5ddbe,delivered,"2017-12-05 23:40:59","2017-12-07 03:16:36","2017-12-07 22:59:30","2017-12-20 22:46:28","2017-12-28 00:00:00",15,0
00137e170939bba5a3134e2386413108,7b63cba66b8e6d002e94d0990c1e2868,delivered,"2017-11-24 16:50:38","2017-11-25 06:30:55","2017-11-28 19:43:52","2017-12-11 19:12:55","2017-12-18 00:00:00",17,0
001427c0ec99cf8af737bd88e92fd444,eab9c552374be06ed15923016dc9e588,delivered,"2018-04-07 18:51:22","2018-04-07 19:08:28","2018-04-09 23:29:32","2018-04-25 23:38:41","2018-05-10 00:00:00",18,0
00143d0f86d6fbd9f9b38ab440ac16f5,2e45292979b9b2700ea09560eeb0f803,delivered,"2017-10-16 15:29:43","2017-10-16 16:07:52","2017-10-16 23:04:43","2017-10-27 18:43:56","2017-11-06 00:00:00",11,0
0014ae671de39511f7575066200733b7,41065d9dcea52218c3943d2eed072b97,delivered,"2017-05-22 13:49:03","2017-05-23 03:15:24","2017-05-29 09:04:02","2017-06-07 13:52:52","2017-06-13 00:00:00",16,0
0015ebb40fb17286bea51d4607c4733c,da43a556bf5c36a1104c473cff77de6c,delivered,"2018-01-14 09:01:36","2018-01-14 09:11:24","2018-01-17 22:56:36","2018-02-01 20:29:51","2018-02-15 00:00:00",18,0
0016dfedd97fc2950e388d2971d718c7,2c8b917c5d7dd720ebe36a5ed3b501ec,delivered,"2017-04-28 19:54:40","2017-04-29 10:05:12","2017-05-16 08:40:49","2017-05-22 18:32:21","2017-06-01 00:00:00",24,0
