product_category_name_english,order_purchase_timestamp,total_sales_val,cumulative_sum
bed_bath_table,"2016-10-04 23:59:01",95.81,95.81
bed_bath_table,"2016-10-04 23:59:01",95.81,191.62
bed_bath_table,"2016-10-05 12:44:09",184.87,376.49
bed_bath_table,"2016-10-06 09:59:13",74.59,451.08
bed_bath_table,"2016-10-09 22:36:25",36.83,487.91
bed_bath_table,"2016-10-09 22:36:25",36.83,524.74
bed_bath_table,"2016-10-09 22:36:25",36.83,561.57
bed_bath_table,"2016-10-09 23:50:37",45.01,606.58
bed_bath_table,"2017-01-08 09:35:14",84.59,691.17
bed_bath_table,"2017-01-10 13:58:33",88.29,779.46
bed_bath_table,"2017-01-10 16:31:22",64.46,843.92
bed_bath_table,"2017-01-13 09:02:32",85.60,929.52
bed_bath_table,"2017-01-14 12:17:10",77.75,1007.27
bed_bath_table,"2017-01-15 15:52:04",64.46,1071.73
bed_bath_table,"2017-01-17 11:21:45",60.64,1132.37
bed_bath_table,"2017-01-18 23:02:45",84.59,1216.96
bed_bath_table,"2017-01-19 15:21:44",91.85,1308.81
bed_bath_table,"2017-01-19 15:21:44",167.10,1475.91
bed_bath_table,"2017-01-19 19:02:48",72.50,1548.41
bed_bath_table,"2017-01-20 11:38:56",138.35,1686.76
bed_bath_table,"2017-01-21 19:46:22",256.06,1942.82
bed_bath_table,"2017-01-21 19:46:23",141.16,2083.98
bed_bath_table,"2017-01-21 19:46:23",141.16,2225.14
bed_bath_table,"2017-01-22 10:08:18",80.55,2305.69
bed_bath_table,"2017-01-22 23:08:14",107.27,2412.96
bed_bath_table,"2017-01-23 18:56:45",85.60,2498.56
bed_bath_table,"2017-01-23 18:56:45",85.60,2584.16
bed_bath_table,"2017-01-23 22:40:22",101.92,2686.08
bed_bath_table,"2017-01-24 18:11:44",96.65,2782.73
bed_bath_table,"2017-01-24 21:16:24",30.96,2813.69
bed_bath_table,"2017-01-25 05:31:30",100.64,2914.33
bed_bath_table,"2017-01-25 12:18:11",123.06,3037.39
bed_bath_table,"2017-01-26 16:25:37",151.49,3188.88
bed_bath_table,"2017-01-26 17:48:22",49.06,3237.94
bed_bath_table,"2017-01-26 22:28:07",76.66,3314.60
bed_bath_table,"2017-01-26 22:28:07",76.66,3391.26
bed_bath_table,"2017-01-27 10:34:34",140.91,3532.17
bed_bath_table,"2017-01-27 14:59:17",38.29,3570.46
bed_bath_table,"2017-01-28 13:17:57",87.90,3658.36
bed_bath_table,"2017-01-28 23:55:20",66.90,3725.26
bed_bath_table,"2017-01-29 11:10:23",87.90,3813.16
bed_bath_table,"2017-01-29 16:00:36",147.99,3961.15
bed_bath_table,"2017-01-29 18:19:02",87.90,4049.05
bed_bath_table,"2017-01-30 14:19:22",107.99,4157.04
bed_bath_table,"2017-01-30 14:19:23",78.90,4235.94
bed_bath_table,"2017-01-30 18:18:36",127.90,4363.84
bed_bath_table,"2017-01-30 20:26:28",97.99,4461.83
bed_bath_table,"2017-01-30 20:28:45",207.99,4669.82
bed_bath_table,"2017-01-30 23:20:41",145.90,4815.72
bed_bath_table,"2017-01-30 23:40:39",64.22,4879.94
bed_bath_table,"2017-01-31 11:22:14",87.27,4967.21
